Sl.No,Star,Planetmass,Planetmass_error_min,Planetmass_error_max,Starmass,Starmass_error_min,Starmass_error_max,Age,Age_error_min,Age_error_max,Orbital_period,Orbital_period_error_min,Orbital_period_error_max,semimajor_axis,semimajor_axis_error_min,semimajor_axis_error_max,Teff,Teff_ error_max,Teff_ error_min,log g,log g error_max,log g error_min,Fe_H,Fe/H - Exo.eu,Fe/H error_max,Fe/H error_min,Comment,Eccentricity
22,HR 7672,61.5,6.5,6.5,,,,,,,,,,14,,,6045,2,1,4.89,0.01,0.01,0.57,NA,0.01,0.01,,
2,HD 984,61,4,4,1.2,,,0.08,0.05,0.12,,,,28,4,7,6320,1,6,4.38,0.01,0.02,0.03,NA,0.03,0.01,,0.76
21,HII 1348,59,6,6,0.822,0.01,0.007,0.02,0.004,0.01,,,,138,7,7,4635,36,14,4.73,0.3,0.05,0.33,NA,0.06,0.01,,
16,beta Cir,56,7,7,1.825,0.01,0.02,0.902,0.07,0.009,,,,6656,,,8445,0,0,4.03,0,0,-0.06,NA,0,0,,
19,HD 3651,53,15,15,0.79,,,5.13,,,,,,476,6,6,5351,21,26,4.92,0.02,0.16,0.16,0.05,0.07,0.01,,0.645
20,HD 97334,53,,,0.05,,,,,,,,,2620,,,5890,2,0,4.81,0.01,0.01,0.2,-0.01,0.02,0.02,,
51,HD 97334 b,53,,,0.05,,,,,,,,,2620,,,,,,,,,-0.01,-0.01,,,,
3,HD 19467,52,4.3,4.3,0.95,0.02,0.02,7.2,2.8,2.8,,,,51.1,1,1,5714,7,5,4.49,0.02,0.01,-0.13,-0.15,0.01,0.01,,
48,LHS 6176 B,45,14,14,,,,3.5,0,0,,,,970,,,,,,5.15,,,-0.3,-0.3,0.1,0.1,,
52,GJ 570 D,42.5,4.5,4.5,0.802,0.04,0.04,,,,,,,1500,,,810,10,10,,,,0.06,0.06,,,,